generation,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
0,218.03,189.58,295.64,264.69,262.61,246.11,37.56
1,276.58,203.30,282.23,270.87,270.25,260.65,29.00
2,267.41,221.74,281.68,248.17,270.98,258.00,21.12
3,254.72,191.46,272.91,249.73,254.83,244.73,27.78
4,326.69,185.54,246.63,281.57,293.12,266.71,47.97
5,309.49,219.00,343.76,239.48,244.64,271.27,47.26
6,361.24,183.38,272.31,242.40,273.98,266.66,57.54
7,318.01,198.14,326.94,227.22,256.63,265.39,50.23
8,310.42,240.83,296.37,242.71,269.77,272.02,27.94
9,325.87,320.14,311.61,246.82,260.60,293.01,32.70
10,316.48,222.50,362.72,215.81,300.47,283.60,56.49
11,288.98,271.05,309.37,243.53,273.81,277.35,21.71
12,282.08,198.63,315.76,267.80,311.24,275.10,42.21
13,301.16,196.17,408.08,254.21,322.12,296.35,70.69
14,289.48,231.71,339.93,245.49,284.11,278.14,37.96
15,341.18,265.41,309.74,252.29,287.96,291.32,31.72
16,329.34,243.60,342.64,266.81,324.21,301.32,38.83
17,292.25,239.56,382.59,258.57,342.39,303.07,52.92
18,289.29,249.03,300.38,274.84,344.43,291.59,31.52
19,304.10,254.62,310.05,237.31,319.47,285.11,32.80
20,299.43,248.86,350.75,247.49,276.46,284.60,38.25
21,309.07,268.42,356.73,267.97,310.56,302.55,32.87
22,312.31,228.13,311.26,278.31,291.93,284.39,30.86
23,315.25,222.70,377.41,306.31,366.23,317.58,54.92
24,310.11,249.92,362.76,323.98,300.26,309.41,36.56
25,352.63,232.74,322.77,279.03,299.56,297.35,40.54
26,329.57,247.62,418.57,245.60,364.86,321.24,67.21
27,316.75,229.89,374.19,237.33,322.41,296.11,54.87
28,300.99,219.93,344.70,266.09,357.22,297.79,50.61
29,354.41,221.30,371.83,284.55,375.01,321.42,59.81
30,336.85,248.50,372.67,267.83,324.27,310.03,45.64
31,376.22,218.83,370.01,281.71,365.68,322.49,62.32
32,295.04,234.44,338.88,259.69,354.80,296.57,45.61
33,323.33,254.09,365.95,276.29,388.78,321.69,51.17
34,343.23,223.64,332.66,296.19,342.62,307.67,45.39
35,333.14,244.06,359.78,306.94,312.93,311.37,38.39
36,420.89,233.15,436.99,264.68,332.80,337.70,81.32
37,381.77,277.10,388.41,303.30,350.40,340.20,43.59
38,298.05,287.25,339.91,286.16,373.51,316.98,34.39
39,382.13,241.22,369.38,318.47,373.86,337.01,52.84
