generation,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,mean,std
0,235.87,273.90,226.11,227.63,326.39,245.88,218.30,252.96,283.52,315.40,258.14,265.56,265.94,237.08,276.29,260.60,30.38
1,242.41,290.77,211.91,214.63,297.12,256.86,242.88,238.62,304.32,289.58,251.65,288.21,258.09,227.58,253.14,257.85,28.87
2,247.09,311.26,219.01,256.81,277.51,272.65,222.54,269.54,299.69,313.59,269.77,298.00,271.90,231.89,263.13,268.29,28.68
3,240.36,322.85,218.50,252.84,316.12,278.27,231.93,242.98,311.07,302.50,264.75,293.73,282.75,224.31,284.44,271.16,33.43
4,274.72,312.45,243.30,229.47,292.80,275.31,246.00,275.86,312.22,314.78,249.64,250.27,281.58,227.96,271.21,270.51,28.08
5,266.34,316.62,228.77,262.94,307.04,300.37,228.73,293.67,303.04,347.40,255.71,279.69,269.80,240.49,290.23,279.39,32.49
6,252.67,316.97,239.95,215.74,323.50,311.63,273.71,282.21,330.09,306.43,268.87,281.27,302.12,223.42,298.72,281.82,34.75
7,255.38,340.62,222.86,220.70,352.80,306.62,253.46,296.97,335.94,310.31,261.97,259.96,287.76,246.13,268.51,281.33,40.13
8,254.52,331.47,243.41,235.21,303.75,296.36,261.40,297.09,329.42,337.35,251.36,275.13,280.21,254.10,291.07,282.79,32.01
9,246.82,335.50,258.36,225.84,298.26,309.58,262.36,275.50,318.61,354.53,256.96,282.86,291.50,273.26,267.43,283.82,33.49
10,265.76,317.86,241.32,281.31,317.48,293.05,276.08,319.71,339.12,335.34,254.46,251.23,304.32,229.64,286.02,287.51,33.32
11,291.74,339.90,244.28,218.53,325.12,308.08,275.83,309.54,328.19,383.73,324.66,279.14,315.07,230.80,305.64,298.68,42.15
12,271.00,352.10,247.87,243.57,332.77,308.71,294.17,310.73,311.25,351.79,287.66,283.58,302.18,261.23,293.36,296.80,32.03
13,297.33,337.52,270.57,224.27,377.56,319.45,315.79,308.51,357.49,315.03,299.71,260.08,297.33,251.90,277.34,300.66,38.89
14,292.23,341.25,292.62,234.01,333.68,311.82,275.38,325.51,346.61,311.16,292.05,294.02,310.30,266.71,320.46,303.19,28.96
15,272.48,342.60,261.88,250.05,328.44,322.74,295.47,296.55,336.06,313.25,304.84,268.85,292.07,296.47,295.41,298.48,26.34
16,282.16,338.49,260.32,257.01,296.44,327.11,299.72,330.97,349.97,328.47,314.70,267.70,300.04,258.56,296.58,300.55,29.69
17,310.92,342.70,310.43,236.98,348.10,321.53,287.35,273.64,353.49,318.19,288.49,309.26,295.88,263.36,296.65,303.80,30.79
18,309.70,344.98,286.09,271.20,370.49,321.55,296.97,312.98,368.41,320.32,364.15,298.56,315.02,249.27,328.15,317.19,33.78
19,296.50,342.19,284.71,230.90,345.54,317.32,291.09,307.00,331.48,302.99,292.49,292.05,348.04,263.74,321.84,304.52,30.78
20,328.68,337.33,377.00,252.62,336.19,316.18,342.25,304.19,337.77,354.53,306.09,286.68,315.59,282.52,296.20,318.25,30.49
21,314.17,327.85,290.81,233.92,399.16,321.82,335.30,313.63,329.60,345.28,283.65,289.14,317.12,271.95,298.66,311.47,36.14
22,322.86,337.72,293.79,310.19,319.60,324.10,308.44,304.67,380.58,324.15,311.71,274.60,314.20,283.78,303.48,314.26,23.71
23,300.50,332.89,278.47,247.01,335.38,327.93,313.01,339.84,366.00,345.92,320.64,342.24,311.27,293.48,313.91,317.90,28.72
24,359.41,339.03,283.61,249.86,350.42,325.90,309.16,323.92,339.69,357.84,328.75,306.50,322.84,269.88,304.13,318.06,30.60
25,328.50,334.34,331.27,271.42,336.94,319.18,327.16,305.19,335.91,359.78,297.26,308.11,320.72,275.78,352.60,320.28,24.27
26,380.03,328.40,292.15,279.56,328.72,344.08,319.02,339.11,331.94,342.04,364.30,290.24,319.88,307.24,324.00,326.05,26.09
27,358.09,347.12,300.77,229.50,321.19,331.70,313.13,352.66,368.80,373.12,353.41,322.29,317.12,293.77,305.97,325.91,35.30
28,347.89,365.57,299.35,260.29,364.91,334.26,308.80,356.52,367.17,390.96,311.00,317.70,317.47,293.04,336.18,331.41,33.58
29,342.88,344.48,298.00,254.29,362.73,310.28,338.12,323.82,423.80,342.88,298.88,296.39,317.84,299.46,330.06,325.59,37.01
30,331.64,341.46,304.81,274.44,339.08,319.31,311.27,352.33,356.90,323.71,346.44,303.75,325.46,316.89,326.85,324.96,20.73
31,362.12,358.52,312.74,264.84,335.89,331.68,339.14,345.96,358.69,341.62,298.55,304.89,323.35,302.78,323.60,326.96,25.86
32,301.78,360.52,303.60,290.95,363.76,317.90,303.57,360.76,332.41,355.91,318.04,318.79,319.99,327.77,305.44,325.41,23.41
33,328.19,331.88,311.63,274.57,379.53,328.38,350.71,354.66,359.55,341.23,308.31,306.90,320.53,331.37,322.94,330.03,24.57
34,335.01,366.13,306.13,270.47,329.84,337.29,327.58,339.95,354.37,369.88,296.69,315.21,328.91,299.20,314.07,326.05,25.93
35,332.76,346.49,321.62,253.32,373.77,338.62,300.73,353.37,351.96,385.37,297.18,315.31,328.88,304.25,370.28,331.59,33.38
36,348.46,333.82,338.72,289.22,382.89,330.08,347.99,370.62,345.53,353.05,332.26,379.15,331.87,324.67,334.26,342.84,22.56
37,353.70,353.77,320.37,294.77,330.19,335.99,320.15,374.89,365.99,347.79,305.39,312.89,318.99,308.75,314.69,330.55,22.98
38,352.76,341.64,300.56,274.46,328.30,329.05,353.43,361.52,369.57,434.40,333.13,358.28,317.83,347.20,314.53,341.11,34.89
39,333.26,352.35,301.28,266.49,372.96,324.99,310.71,397.53,349.77,369.60,318.65,331.19,344.59,330.16,334.01,335.84,30.53
40,343.64,338.53,321.81,253.71,335.64,321.24,333.93,376.74,360.84,366.35,348.11,306.61,328.07,341.87,348.30,335.03,27.93
41,316.71,350.46,327.81,300.51,341.23,336.10,341.81,399.03,427.56,330.22,353.65,325.29,320.30,329.02,338.49,342.55,31.03
42,332.34,346.86,334.84,284.57,326.63,340.54,313.22,360.95,347.46,364.26,329.68,369.85,324.66,343.27,311.68,335.39,21.46
43,358.08,356.73,338.17,298.67,325.97,332.88,341.49,344.56,342.22,350.61,329.17,319.03,318.86,333.61,319.39,333.96,15.55
44,289.30,355.04,311.76,282.86,333.89,332.71,323.19,379.25,364.71,369.76,342.38,319.53,317.92,318.70,329.77,331.39,26.62
45,371.11,361.98,342.46,280.36,335.62,333.82,317.46,402.16,349.63,364.28,332.00,377.84,324.03,362.40,324.35,345.30,28.52
46,329.25,335.71,321.55,279.35,380.66,324.06,344.30,367.79,375.50,374.38,360.94,359.18,325.20,390.18,327.90,346.40,28.72
47,321.79,357.31,349.81,289.50,345.28,337.66,304.15,374.33,356.18,385.07,334.52,338.36,341.45,362.20,331.29,341.93,23.97
48,326.11,358.97,324.78,263.63,368.48,343.67,452.44,347.45,422.30,377.71,340.35,315.21,319.46,366.78,325.68,350.20,43.77
49,340.19,334.98,365.75,282.12,340.52,345.58,312.46,352.20,346.78,462.70,306.09,328.54,330.63,393.83,334.09,345.10,39.99
50,353.34,350.09,345.88,240.67,327.49,329.04,323.37,344.20,376.21,424.34,354.07,302.29,322.50,391.02,321.20,340.38,40.05
51,376.71,335.83,360.21,262.69,379.28,329.07,363.16,373.16,434.53,421.87,367.42,338.60,327.13,350.54,330.92,356.74,39.66
52,322.24,357.13,327.41,286.16,355.95,342.09,340.41,372.01,388.89,366.39,319.56,339.11,359.49,363.75,316.53,343.81,25.47
53,345.06,346.69,333.48,272.76,352.98,342.84,342.79,355.07,356.71,391.35,334.51,346.22,330.42,350.07,337.30,342.55,23.29
54,320.05,338.25,349.82,265.89,339.57,329.48,339.74,363.44,353.14,414.52,341.50,327.20,325.89,333.04,341.27,338.85,29.18
55,382.51,348.39,334.01,261.60,334.52,330.43,335.37,359.39,350.11,365.38,323.99,351.68,352.78,380.12,347.81,343.87,27.48
56,311.60,342.37,348.76,288.94,332.17,356.76,330.09,385.46,392.63,409.98,330.09,374.62,337.33,370.80,348.80,350.69,30.86
57,363.65,364.75,347.79,290.01,393.04,335.83,337.09,376.21,354.03,395.94,306.51,349.61,326.61,385.91,349.53,351.77,29.12
58,320.48,343.38,340.54,321.08,368.64,335.46,353.22,342.70,373.92,369.49,328.89,374.56,343.18,330.49,321.60,344.51,18.70
59,312.57,352.80,333.00,269.31,347.02,357.63,361.62,375.11,383.01,418.74,323.37,325.69,339.71,373.68,369.11,349.49,33.85
60,308.42,366.52,347.79,254.14,395.23,331.60,330.97,374.32,364.58,386.28,348.37,404.41,331.26,376.44,317.12,349.16,37.55
61,330.83,344.53,347.20,279.94,359.51,339.74,319.42,358.91,418.30,388.64,311.49,309.49,346.50,369.02,319.33,342.86,33.02
62,317.66,352.74,369.37,270.49,380.56,330.51,306.15,377.07,360.98,426.88,348.52,343.85,337.16,380.27,286.88,345.94,38.82
63,372.32,345.70,315.66,303.76,353.94,357.70,323.43,380.25,355.06,407.74,354.86,375.41,348.65,362.08,352.58,353.94,25.14
64,311.35,354.87,426.89,271.01,340.62,337.40,294.16,358.80,358.88,375.67,364.93,359.11,351.81,357.05,311.69,344.95,35.86
65,368.37,374.15,367.36,303.29,357.90,327.63,361.58,366.51,382.12,391.66,336.69,348.42,334.92,405.56,315.23,356.09,27.43
66,313.92,369.13,342.61,264.18,357.68,354.47,344.64,364.06,346.90,397.57,328.36,347.80,348.25,398.09,308.04,345.71,32.60
67,305.67,341.21,343.43,286.69,349.39,347.92,333.58,372.50,364.20,382.78,352.61,343.54,348.92,363.44,312.33,343.21,24.64
68,303.58,367.18,354.20,261.04,377.37,352.75,322.22,366.59,451.71,371.94,333.70,349.92,344.10,406.28,305.82,351.23,43.52
69,340.81,366.76,359.25,274.28,394.26,350.46,369.15,362.08,361.30,399.27,364.90,367.06,338.03,405.03,335.36,359.20,30.38
70,359.36,342.25,374.40,270.22,368.45,339.64,380.95,370.48,375.41,404.97,328.88,336.97,336.82,380.35,328.96,353.21,31.20
71,312.64,345.42,410.37,272.65,328.70,341.24,315.19,365.32,387.07,390.04,390.04,326.46,331.30,393.52,321.03,348.73,37.61
72,331.91,338.82,376.49,284.05,357.88,338.73,328.68,352.93,371.94,389.09,353.06,371.29,338.54,386.67,345.77,351.06,25.95
73,315.46,358.08,352.52,303.98,385.48,342.54,313.85,369.22,360.63,382.54,356.61,381.22,327.53,429.37,330.91,354.00,32.14
74,352.79,339.08,362.33,266.07,384.64,361.04,331.93,437.10,383.77,394.83,348.74,339.88,343.14,391.81,307.68,356.32,38.99
75,350.83,364.34,398.51,291.44,379.51,331.01,361.14,372.45,377.21,378.60,355.13,355.75,334.84,361.50,331.10,356.22,25.30
76,300.22,339.89,363.84,272.86,364.89,333.41,379.15,359.56,374.09,383.45,414.72,356.17,334.63,414.87,305.99,353.18,38.57
77,336.55,361.06,367.78,325.01,364.73,345.37,371.97,364.10,359.93,394.42,411.53,344.94,349.45,460.29,364.27,368.09,32.15
